Log Name,Source,Date,Event ID,Task,Level,Opcode,Keyword,User,User Name,Computer,Description
93,System,Microsoft-Windows-Kernel-General,2017-06-22T09:40:07.831,16,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The access history in hive \??\C:\Windows.old\WINDOWS\system32\config\userdiff was cleared updating 1 keys and creating 1 modified pages.
94,System,Microsoft-Windows-Kernel-General,2017-06-22T09:40:07.905,16,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The access history in hive \??\C:\Windows.old\Users\joshu\NTUSER.DAT was cleared updating 8 keys and creating 4 modified pages.
95,System,Microsoft-Windows-Kernel-General,2017-06-22T09:40:07.940,16,N/A,Information,Info,N/A,S-1-5-18,NT,DESKTOP-OGCJR0S,The access history in hive \??\C:\Windows.old\Users\joshu\AppData\Local\Microsoft\Windows\UsrClass.dat was cleared updating 1 keys and creating 1 modified pages.
96,System,Service,2017-06-22T09:41:29.914,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
97,System,Service,2017-06-22T09:41:29.914,7030,N/A,Error,N/A,Classic,N/A,N/A,DESKTOP-OGCJR0S,"The Printer Extensions and Notifications service is marked as an interactive service.  However, the system is configured to not allow interactive services.  This service may not function properly."
98,System,Service,2017-06-22T09:41:43.398,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
99,System,Service,2017-06-22T09:41:43.398,7045,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,A service was installed in the system.
100,System,EventLog,2017-06-22T09:41:47.601,6006,N/A,Information,N/A,Classic,N/A,N/A,DESKTOP-OGCJR0S,The Event log service was stopped.
101,System,User32,2017-06-22T09:41:47.180,1074,N/A,Information,N/A,Classic,S-1-5-18,NT,DESKTOP-OGCJR0S,The process C:\WINDOWS\system32\winlogon.exe (DESKTOP-OGCJR0S) has initiated the restart of computer DESKTOP-OGCJR0S on behalf of user NT AUTHORITY\SYSTEM for the following reason: Operating System: Upgrade (Planned)
102,System,Microsoft-Windows-Dhcp-Client,2017-06-22T09:41:47.590,50104,Service,Information,ServiceShutdown,N/A,S-1-5-19,NT,DESKTOP-OGCJR0S,DHCPv4 client received shutdown notification
103,System,Microsoft-Windows-Dhcp-Client,2017-06-22T09:41:47.592,50105,Service,Information,ServiceShutdown,N/A,S-1-5-19,NT,DESKTOP-OGCJR0S,DHCPv4 client ProcessDHCPRequestForever received TERMINATE_EVENT
104,System,Microsoft-Windows-Dhcp-Client,2017-06-22T09:41:47.602,50106,Service,Information,ServiceShutdown,N/A,S-1-5-19,NT,DESKTOP-OGCJR0S,DHCPv4 is waiting on DHCPv6 service to stop
105,System,Microsoft-Windows-DHCPv6-Client,2017-06-22T09:41:47.603,51047,Service,Information,ServiceStop,N/A,S-1-5-19,NT,DESKTOP-OGCJR0S,DHCPv6 client service is stopped. ShutDown Flag value is 1
106,System,Microsoft-Windows-Dhcp-Client,2017-06-22T09:41:47.604,50037,Service,Information,ServiceStop,N/A,S-1-5-19,NT,DESKTOP-OGCJR0S,DHCPv4 client service is stopped. ShutDown Flag value is 1
107,System,EventLog,2017-06-22T09:42:30.505,6009,N/A,Information,N/A,Classic,N/A,N/A,DESKTOP-OGCJR0S,Microsoft (R) Windows (R) 10.00. 15063  Multiprocessor Free.
108,System,EventLog,2017-06-22T09:42:30.505,6005,N/A,Information,N/A,Classic,N/A,N/A,DESKTOP-OGCJR0S,The Event log service was started.
